ErrorCode,ErrorColumn,ErrorMessage,SFOrderID,SFProductID,QuantityOrderedRevised,LastUnitPrice,LineKey,SageUpdateTime
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z64UAAS,01t4x000000frlzAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z64VAAS,01t4x000000fw9NAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z65UAAS,01t4x000000ftWiAAI,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5uHAAS,01t4x000000fsu5AAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5uJAAS,01t4x000000fw9OAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5u4AAC,01t4x000000fshwAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5uBAAS,01t4x000000fshEAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z64bAAC,01t4x000000frofAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z64HAAS,01t4x000000ftRaAAI,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z61DAAS,01t4x000000fw9OAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z616AAC,01t4x000000fsi3AAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5tSAAS,01t4x000000fstQAAQ,.000000,.000000,000001,2013-11-03 17:06:05
